"","cohort","Country","Sex","B0_50100","B0_50110","B1_50100","B1_50110","compression.one_50100","compression.one_50110","compression.twoThird_50100","compression.twoThird_50110","postponement.one_50100","postponement.one_50110","postponement.twoThird_50100","postponement.twoThird_50110"
"83",1953,"Australia","Male",-5.77561218027044,-5.77511826828382,0.072775853745633,0.0728665043583713,1.62198024333549,1.63019542680252,1.54984829227474,1.55775411487384,0.80583893293143,0.736442974381909,0.877971540126239,0.80888535739227
"84",1954,"Australia","Male",-5.77560723837918,-5.77393740190729,0.0724720491949258,0.0725185423256673,1.30732589929831,1.33187191732202,1.2494501423861,1.27299493843514,0.860985274468717,0.771425995440829,0.918860344421439,0.830302871465058
"85",1955,"Australia","Male",-5.7782362833814,-5.77675916070127,0.0722495671203368,0.0723188912276923,1.10772881557396,1.0953989741418,1.05887614467368,1.04710430359042,0.854051990635369,0.826536772202779,0.902903374841344,0.874830263249322
"86",1956,"Australia","Male",-5.77841383587257,-5.77804214177702,0.0719733114033429,0.072107636306529,0.990091615125486,1.04912166384515,0.946593021616657,1.0031378034204,0.833202154948168,0.649813713036849,0.876699236994888,0.695797251854536
"87",1957,"Australia","Male",-5.78175354102714,-5.77853190124065,0.0717634013149829,0.0716768474695593,0.602541066238103,0.56916539133622,0.576144159147518,0.544243685449494,0.951363461465931,0.984350302056313,0.977756886394268,1.00926822805528
"88",1958,"Australia","Male",-5.79820674985925,-5.79712105410355,0.0718573294790318,0.0718927275427726,0.537401766729545,0.577068062881949,0.513861717332198,0.551826005958269,0.888133890154357,0.794640797368196,0.91167061900758,0.819880234424183
"89",1959,"Australia","Male",-5.81094101591461,-5.80859211898186,0.0718313994099342,0.0718252369895302,0.546032223560886,0.517862146528991,0.522123794217777,0.495183445418178,0.831661093463033,0.862775697049706,0.855566619583172,0.885451202664946
"90",1960,"Australia","Male",-5.82333515288366,-5.82045202115509,0.0717974001868295,0.0718107701909842,0.647113088619577,0.667662962916857,0.618770020745231,0.638473822160748,0.768834307905323,0.676513314579893,0.797175220176982,0.705700879779627
"91",1961,"Australia","Male",-5.83262064131438,-5.83278337398662,0.0716856192957427,0.0719372935744859,0.0728139803682737,0.0966521301950038,0.0696877269966336,0.092499816194433,0.0827787986050978,0.00934156317910606,0.085904845104352,0.0134941026241862
"92",1962,"Australia","Male",-5.83466272105564,-5.82918632229521,0.0713964307863933,0.0713237966225873,0.0888090639360541,0.0684835527615633,0.0849941139308967,0.0655440527521947,0.198537693885704,0.218111515912362,0.202351925333062,0.221050148596937
"93",1963,"Australia","Male",-5.84578933399636,-5.8478369612523,0.0713505275393716,0.071711931158304,0.175845041580608,0.214315067084634,0.1682702800504,0.205073106950863,0.266778804822408,0.160352396133909,0.274352762766043,0.169594162917001
"94",1964,"Australia","Male",-5.84968048697612,-5.84387353910326,0.0711142912785943,0.0709819926057844,0.206236651099097,0.183370649147413,0.197344115241052,0.175470918011143,0.372940015283604,0.413251104243159,0.381831343244635,0.421149383729258
"95",1965,"Australia","Male",-5.87312244508335,-5.87281082910705,0.0713739498826719,0.0715489207255507,0.388820887698834,0.4087262074233,0.371958017759809,0.390991221859728,0.385331880318788,0.336381275986433,0.402193973844035,0.35411576512849
"96",1966,"Australia","Male",-5.89656571435962,-5.89371013140013,0.0715784309877712,0.071720891327635,0.570543140459968,0.570658232392454,0.545656332056502,0.545769512791416,0.418628536634493,0.369730122417863,0.443514915080833,0.394618641692901
"97",1967,"Australia","Male",-5.91001909100371,-5.90761000985323,0.0715168605159356,0.071741032112522,0.674433491509284,0.677973105066364,0.644918453114776,0.648303579331085,0.505787512728396,0.427649025693761,0.535302006228648,0.457318380560771
"98",1871,"Australia","Female",-4.96071164526418,-4.96069013131633,0.0867894000929019,0.0867763271355557,NA,NA,NA,NA,NA,NA,NA,NA
"99",1872,"Australia","Female",-4.96501657342628,-4.96000266082738,0.0869898156954043,0.0867177610440853,NA,NA,NA,NA,NA,NA,NA,NA
"100",1873,"Australia","Female",-4.98676446220432,-4.98402149514549,0.0873777552933856,0.0872050682069059,NA,NA,NA,NA,NA,NA,NA,NA
"101",1874,"Australia","Female",-4.99935856956427,-4.99498190523874,0.0874319067332544,0.0871820337372666,NA,NA,NA,NA,NA,NA,NA,NA
"102",1875,"Australia","Female",-4.99759062852009,-4.98586429345807,0.0870573968472465,0.0863982949625266,NA,NA,NA,NA,NA,NA,NA,NA
"103",1876,"Australia","Female",-4.9923527156313,-4.97912041800082,0.0866176637842473,0.0858709768389177,NA,NA,NA,NA,NA,NA,NA,NA
"104",1877,"Australia","Female",-5.00941869664323,-4.9996002897158,0.0866850418735136,0.0861400407767681,NA,NA,NA,NA,NA,NA,NA,NA
"105",1878,"Australia","Female",-5.02349580260811,-5.01197830368507,0.0866385376366301,0.0860019675322488,NA,NA,NA,NA,NA,NA,NA,NA
"106",1879,"Australia","Female",-5.02944057871511,-5.01764436826223,0.0864232709174934,0.0857687809434304,NA,NA,NA,NA,NA,NA,NA,NA
"107",1880,"Australia","Female",-5.04126428366394,-5.02876573339007,0.0863714235368143,0.0856793999045233,0.505204566420957,0.42749520333885,0.482108896733177,0.40802401833616,0.342249687374586,0.42916522347538,0.365341781654084,0.448628093001606
"108",1881,"Australia","Female",-5.04099991676714,-5.02871893878463,0.0861162068784978,0.085426023949961,0.503558414080295,0.427203124456199,0.480539751136622,0.407745506385222,0.390005633032168,0.477582852417175,0.413018883178687,0.497030421726638
"109",1882,"Australia","Female",-5.05264347980832,-5.04323785828226,0.0861656785244254,0.0856387674077959,0.547961189433448,0.522349851084837,0.522821027361164,0.498464109409344,0.444045357529667,0.478262830796677,0.469178900810185,0.502140336775359
"110",1883,"Australia","Female",-5.05553430265375,-5.04522201127521,0.086003357119873,0.0854258489519771,0.429059863754233,0.382866675085218,0.409407547036519,0.365390688930209,0.4866023614128,0.538933887679203,0.506244017707502,0.556396604919026
"111",1884,"Australia","Female",-5.06653628766917,-5.05844801951977,0.0859954384896764,0.0855394949690535,0.41908872784618,0.397222633188459,0.399881419676909,0.379070967228628,0.495313311312607,0.522999393285854,0.514509499064765,0.541138743051139
"112",1885,"Australia","Female",-5.0837582011024,-5.07817347097656,0.0861016577341499,0.0857855581996229,0.53907176321475,0.581651985311925,0.514294589160755,0.555003514700932,0.46982430287661,0.42506893651117,0.494593923043464,0.451712531171797
"113",1886,"Australia","Female",-5.09301084823936,-5.08679558370544,0.086016684568668,0.0856614478795631,0.632205559905454,0.681821345130153,0.603120125935785,0.650566880467355,0.452080047559139,0.400134506023431,0.481160568527947,0.431386938019639
"114",1887,"Australia","Female",-5.09919835343674,-5.09254350820625,0.0858747638129072,0.0854956107644588,0.564289488237264,0.587770210881228,0.538372728247939,0.560861914457597,0.45771683929695,0.436686551536205,0.483627258734575,0.46358986093847
"115",1888,"Australia","Female",-5.10354092303228,-5.09897936791702,0.0857071084902068,0.0854458026745992,0.504070235406616,0.551663918542605,0.480971682251337,0.526456682458711,0.450136214085504,0.400740803704419,0.473227671460254,0.425943738485163
"116",1889,"Australia","Female",-5.11609316105394,-5.10847016971992,0.0856798546188208,0.0852546026732926,0.546910121158664,0.577500904221179,0.521828558705163,0.551116661227095,0.437892177830289,0.407411991968303,0.462968016164417,0.433792275922993
"117",1890,"Australia","Female",-5.12612623109663,-5.12032929013408,0.0856102150258361,0.0852854063578366,0.536236998571436,0.583014038996023,0.511649150565852,0.556371367148998,0.437275060279894,0.38766375747101,0.461857103521346,0.414303299413884
"118",1891,"Australia","Female",-5.15867560253472,-5.1524600899453,0.0860097185700618,0.0856556931155127,0.743698029582948,0.788085629055363,0.709341114741637,0.75180548592202,0.422073956508914,0.375286819542829,0.456429516262848,0.411567916490132
